1,iá.bla.ka,1,1
2,bá.nan,1,2
3,vi.chnia,1,3
4,fi.nik,1,4
5,бу-зи-на,1,5
6,in.jir,1,6
7,vi.nó.grád,1,7
8,mie.do.va deei.na,1,8
9,ki.vi,1,9
10,li.món,1,10
11,man.ga,1,11
12,nié.kta.rin,1,12
13,á.pillh.sin,1,13
14,gru.sha,1,14
15,ai.vá,1,15
16,má.li.na,1,16
17,sabaka,1,33
18,кот,1,34
19,lu chets,1,35
20,ко-ро-ва,1,36
21,ов-ца,1,37
22,свин-ья,1,38
23,ко-за,1,39
24,ку-ри-ца,1,40
25,ут-ка,1,41
26,кро-лик,1,42
27,ры-ба,1,43
28,пти-ца,1,44
29,Ya schastliv.,1,57
30,a lora tem um gato,1,58
31,Ya delayu domashneye zadaniye.,1,59
32,Ty skazal privet.,1,60
33,My vstayom rano.,1,61
34,Ya prigotovil kofe.,1,62
35,My idyom v shkolu.,1,63
36,Ya znayu otvet.,1,64
37,Ty yedesh' na avtobuse.,1,65
38,My vidim zvyozdy.,1,66
39,Ya prishol domoy.,1,67
40,Ya mnogo dumayu.,1,68
41,Ty smotrish' na menya.,1,69
42,Ya khochu pitsu.,1,70
43,Ya podaril podarok.,1,71
44,My ispol'zuyem instrumenty.,1,72
45,Ya nashel svoi klyuchi.,1,73
46,Ya rasskazhu shutku.,1,74
47,Ty zadal vopros.,1,75
48,My budem rabotat' usyerdno.,1,76
49,Eto kazhetsya lyogkim.,1,77
50,Ya chuvstvuyu ustalost'.,1,78
51,My poprobuyem snova.,1,79
52,Ya skora uyedu.,1,80
53,Ty pozvonish' mne.,1,81
54,Ty khranish' sekrety.,1,82
55,Mne nuzhna pomoshch'.,1,83
56,Ya derzhu napitok.,1,84
57,My povorachivayem nalevo.,1,85
58,Ya sleduyu za toboy.,1,86
59,Ya tol'ko nachinayu.,1,87
60,Ty prinosish' zakuski.,1,88
61,Mne nravitsya muzyka.,1,89
62,Ya pishu knigi.,1,90
63,My sidim vmeste.,1,91
64,My vstayom.,1,92
65,Ya poteryal svoi klyuchi.,1,93
66,Ya oplachivayu scheta.,1,94
67,My vstrechayem druzey.,1,95
68,My vkluchayem vsekh.,1,96
69,Ty prodolzhayesh' govorit'.,1,97
70,Ya nakryvayu na stol.,1,98
71,My bystro uchimsya.,1,99
72,Ya menyayu odezhdu.,1,100
73,Ya vedu gruppu.,1,101
74,Ty ponimayesh' matematiku.,1,102
75,My smotrim fil'my.,1,103
76,Ty sleduyush' instruktsiyam.,1,104
77,Ya prekrashchayu pet'.,1,105
78,Ya sozdayu iskusstvo.,1,106
79,chiés.li.veei,1,157
80,gru.sneei,1,158
81,zloi,1,159
82,vzvol-no-van-nyy | [vzvɐl-nə-vɐ-nɨɪ],1,160
83,niér.ve.neei,1,161
84,spá.kói.neei,1,162
85,sku-cha-yu-shchiy | [sku-ˈt͡ɕa-jʊ-ɕɕɪɪ̯],1,163
86,tri.voj.neei,1,164
87,smu-shchyon-nyy | [smʊ-ˈɕːɵn-nɨɪ],1,165
88,ras-slabl-len-nyy | [rɐ-ˈslablʲɪn-nɨɪ],1,166
89,ras-stroy-en-nyy | [rɐs-ˈtroɪ̯-ɪn-nɨɪ],1,167
90,us-ta-lyy | [us-ˈta-lɨɪ],1,168
91,u-div-lyon-nyy | [ʊ-dʲɪ-ˈvlʲɵn-nɨɪ],1,169
92,ra-zo-cha-ro-van-nyy | [rə-zɐ-t͡ɕɪ-ˈrovɐ-nɨɪ],1,170
